Agency,Agency Type,Distribution Channel,Product Name,Claim,Duration,Destination,Net Sales,Commision (in value),Gender,Age
CBH,Travel Agency,Offline,Comprehensive Plan,No,186,MALAYSIA,-29,9.57,F,81
CBH,Travel Agency,Offline,Comprehensive Plan,No,186,MALAYSIA,-29,9.57,F,71
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,65,AUSTRALIA,-49.5,29.7,,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,60,AUSTRALIA,-39.6,23.76,,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,79,ITALY,-19.8,11.88,,41
JZI,Airlines,Online,Value Plan,No,66,UNITED STATES,-121,42.35,F,44
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,47,UNITED STATES,-39.6,23.76,,32
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,63,AUSTRALIA,-108.9,65.34,,29
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,57,THAILAND,-19.8,11.88,,44
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,186,AUSTRALIA,-99,59.4,,37
JZI,Airlines,Online,Basic Plan,No,33,"KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",-26,9.1,,118
JZI,Airlines,Online,Basic Plan,No,1,MALAYSIA,-18,6.3,M,47
KML,Travel Agency,Online,Premier Plan,No,53,NORWAY,-130,49.4,F,48
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,5,MALAYSIA,-39.6,23.76,,64
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,39,VIET NAM,-25,0,,36
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,6,DENMARK,-19.8,11.88,,53
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,48,DENMARK,-79.2,47.52,,43
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,11,UNITED STATES,-29.7,17.82,,58
JZI,Airlines,Online,Basic Plan,No,3,MALAYSIA,-18,6.3,M,47
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,14,THAILAND,-69.3,41.58,,37
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,136,NORWAY,-108.9,65.34,,32
C2B,Airlines,Online,Bronze Plan,No,12,SINGAPORE,46.15,11.54,F,44
C2B,Airlines,Online,Bronze Plan,No,7,SINGAPORE,17.55,4.39,F,25
C2B,Airlines,Online,Bronze Plan,Yes,12,SINGAPORE,94,23.5,M,34
C2B,Airlines,Online,Silver Plan,No,190,SINGAPORE,294.75,73.69,M,26
C2B,Airlines,Online,Annual Silver Plan,No,364,SINGAPORE,389,97.25,F,30
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,29,UNITED STATES,9.9,5.94,,33
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,28,UNITED STATES,9.9,5.94,,33
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,153,JAPAN,69.3,41.58,,35
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,28,UNITED KINGDOM,19.8,11.88,,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,4,UNITED KINGDOM,29.7,17.82,,61
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,54,AUSTRALIA,0,41.58,,31
CWT,Travel Agency,Online,Rental Vehicle Excess Insurance,No,24,AUSTRALIA,89.1,53.46,,33
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,9,INDONESIA,25,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,MALAYSIA,24,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,45,MALAYSIA,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,35,INDIA,27,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,28,THAILAND,20,0,,44
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,24,CHINA,43,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,8,FRANCE,78,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,183,INDONESIA,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,36,"TAIWAN, PROVINCE OF CHINA",22,0,,20
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,VIET NAM,27,0,,46
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,38,SINGAPORE,41,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,36,UNITED STATES,95,0,,49
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,4,THAILAND,20,0,,50
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,3,MALAYSIA,20,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,13,THAILAND,35,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,11,PHILIPPINES,43,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,27,INDONESIA,20,0,,62
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,16,MYANMAR,47,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,12,CHINA,29,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,39,INDONESIA,20,0,,46
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,19,MALAYSIA,20,0,,46
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,18,HONG KONG,30,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,189,MALAYSIA,20,0,,46
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,105,JAPAN,44,0,,25
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,23,"KOREA, REPUBLIC OF",57,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,57,UNITED ARAB EMIRATES,37,0,,36
EPX,Travel Agency,Online,2 way Comprehensive Plan,No,29,"TAIWAN, PROVINCE OF CHINA",46,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,1,INDIA,10,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,15,MYANMAR,16,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,16,JAPAN,28,0,,65
EPX,Travel Agency,Online,Cancellation Plan,No,180,PHILIPPINES,21,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,90,HONG KONG,37,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,91,PHILIPPINES,18,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,2,SINGAPORE,14,0,,31
EPX,Travel Agency,Online,Cancellation Plan,No,17,THAILAND,19,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,10,PHILIPPINES,37,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,11,THAILAND,10,0,,64
EPX,Travel Agency,Online,Cancellation Plan,No,279,NAMIBIA,80,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,36,"TAIWAN, PROVINCE OF CHINA",16,0,,20
EPX,Travel Agency,Online,Cancellation Plan,No,12,UNITED STATES,39,0,,32
EPX,Travel Agency,Online,Cancellation Plan,No,18,VIET NAM,14,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,6,INDIA,25,0,,43
EPX,Travel Agency,Online,Cancellation Plan,No,2,MALAYSIA,10,0,,35
EPX,Travel Agency,Online,Cancellation Plan,No,18,THAILAND,10,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,2,HONG KONG,10,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,39,SINGAPORE,68,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,4,UNITED STATES,17,0,,35
EPX,Travel Agency,Online,Cancellation Plan,No,38,"KOREA, REPUBLIC OF",0,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,10,"KOREA, REPUBLIC OF",23,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,92,NEW ZEALAND,80,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,22,COSTA RICA,80,0,,24
EPX,Travel Agency,Online,Cancellation Plan,No,10,THAILAND,10,0,,30
EPX,Travel Agency,Online,Cancellation Plan,No,64,MALAYSIA,10,0,,61
EPX,Travel Agency,Online,Cancellation Plan,No,7,MALAYSIA,15,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,8,VIET NAM,0,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,37,THAILAND,30,0,,43
EPX,Travel Agency,Online,Cancellation Plan,No,2,"KOREA, REPUBLIC OF",16,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,31,"KOREA, REPUBLIC OF",58,0,,29
EPX,Travel Agency,Online,Cancellation Plan,No,41,JAPAN,20,0,,40
EPX,Travel Agency,Online,Cancellation Plan,No,6,MALAYSIA,10,0,,29
EPX,Travel Agency,Online,Cancellation Plan,No,8,INDONESIA,17,0,,43
EPX,Travel Agency,Online,Cancellation Plan,No,5,INDONESIA,37,0,,21
EPX,Travel Agency,Online,Cancellation Plan,No,126,CHINA,27,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,10,MYANMAR,51,0,,36
EPX,Travel Agency,Online,Cancellation Plan,No,29,PHILIPPINES,13,0,,21
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,50,AUSTRALIA,24,0,,36
EPX,Travel Agency,Online,1 way Comprehensive Plan,No,1,VIET NAM,20,0,,36
